17.92608	1037	32
17.92591	1318	36
17.92575	1704	41
17.92558	2857	53
17.92541	4516	67
17.92525	9998	99
17.92508	23819	154
17.92491	31662	177
17.92475	40458	201
17.92458	49087	221
17.92441	56514	237
17.92425	63499	251
17.92408	66802	258
17.92391	66863	258
17.92375	66599	258
17.92358	66206	257
17.92341	65747	256
17.92325	65250	255
17.92308	64129	253
17.92291	63044	251
17.92275	60796	246
17.92258	56795	238
17.92241	51550	227
17.92225	43710	209
17.92208	29315	171
17.92191	19782	140
17.92175	12992	113
17.92158	6622	81
17.92141	4198	64
17.92125	2248	47
17.92108	1321	36
